Country,Year,Amount,Type
Austria,2012,"2,570,000",Gasoline
Austria,2012,"1,000",Electric
Austria,2012,,Hybrid
Belgium,2012,"3,401,000",Gasoline
Belgium,2012,,Electric
Belgium,2012,,Hybrid
Croatia,2012,"547,000",Gasoline
Croatia,2012,0,Electric
Croatia,2012,,Hybrid
Cyprus,2012,"49,000",Gasoline
Cyprus,2012,"1,000",Electric
Cyprus,2012,,Hybrid
Czechia,2012,"1,483,000",Gasoline
Czechia,2012,,Electric
Czechia,2012,,Hybrid
Denmark,2012,,Gasoline
Denmark,2012,,Electric
Denmark,2012,,Hybrid
Estonia,2012,"177,200",Gasoline
Estonia,2012,600,Electric
Estonia,2012,,Hybrid
Finland,2012,"664,000",Gasoline
Finland,2012,0,Electric
Finland,2012,,Hybrid
France,2012,,Gasoline
France,2012,,Electric
France,2012,,Hybrid
Germany ,2012,"12,579,000",Gasoline
Germany,2012,"7,000",Electric
Germany,2012,,Hybrid
Hungary,2012,"683,260",Gasoline
Hungary,2012,90,Electric
Hungary,2012,,Hybrid
Ireland,2012,"667,470",Gasoline
Ireland,2012,270,Electric
Ireland,2012,,Hybrid
Italy,2012,"14,744,000",Gasoline
Italy,2012,,Electric
Italy,2012,,Hybrid
Latvia,2012,"244,410",Gasoline
Latvia,2012,10,Electric
Latvia,2012,,Hybrid
Liechtenstein,2012,"7,370",Gasoline
Liechtenstein,2012,10,Electric
Liechtenstein,2012,,Hybrid
Lithuania,2012,,Gasoline
Lithuania,2012,,Electric
Lithuania,2012,,Hybrid
Luxembourg,2012,"233,000",Gasoline
Luxembourg,2012,100,Electric
Luxembourg,2012,,Hybrid
Malta,2012,"73,946",Gasoline
Malta,2012,38,Electric
Malta,2012,,Hybrid
Netherlands,2012,"1,340,000",Gasoline
Netherlands,2012,"91,000",Electric
Netherlands,2012,,Hybrid
North Macedonia,2012,"93,000",Gasoline
North Macedonia,2012,40,Electric
North Macedonia,2012,,Hybrid
Norway,2012,"1,026,000",Gasoline
Norway,2012,"8,000",Electric
Norway,2012,,Hybrid
Poland,2012,"4,830,000",Gasoline
Poland,2012,,Electric
Poland,2012,,Hybrid
Portugal,2012,"2,051,000",Gasoline
Portugal,2012,,Electric
Portugal,2012,,Hybrid
Romania,2012,"1,480,000",Gasoline
Romania,2012,"1,000",Electric
Romania,2012,,Hybrid
Slovenia,2012,"410,020",Gasoline
Slovenia,2012,,Electric
Slovenia,2012,,Hybrid
Spain,2012,"11,938,000",Gasoline
Spain,2012,,Electric
Spain,2012,,Hybrid
Sweden,2012,"924,246",Gasoline
Sweden,2012,603,Electric
Sweden,2012,,Hybrid
Switzerland,2012,"934,000",Gasoline
Switzerland,2012,"2,000",Electric
Switzerland,2012,,Hybrid
Turkey,2012,"2,101,210",Gasoline
Turkey,2012,230,Electric
Turkey,2012,,Hybrid
United Kingdom,2012,"9,385,000",Gasoline
United Kingdom,2012,"4,000",Electric
United Kingdom,2012,,Hybrid
Austria,2013,"2,621,588",Gasoline
Austria,2013,"2,070",Electric
Austria,2013,"9,664",Hybrid
Belgium,2013,"3,438,968",Gasoline
Belgium,2013,919,Electric
Belgium,2013,"16,475",Hybrid
Croatia,2013,"563,000",Gasoline
Croatia,2013,,Electric
Croatia,2013,,Hybrid
Cyprus,2013,"50,478",Gasoline
Cyprus,2013,6,Electric
Cyprus,2013,"1,820",Hybrid
Czechia,2013,"1,525,690",Gasoline
